city,pm25_count,pm25_nunique,pm25_min,pm25_max,pm10_count,pm10_nunique,pm10_min,pm10_max
Civil Lines,0,0,,,0,0,,
IHBAS,0,0,,,0,0,,
ITO,0,0,,,0,0,,
Burari,215514,1,160.0,160.0,0,0,,
Lodhi Road,215514,1,159.0,159.0,215514,1,134.0,134.0
Mathura Road,215514,1,217.0,217.0,215514,1,233.0,233.0
North Campus,215514,1,164.0,164.0,215514,1,157.0,157.0
Siri Fort,215514,1,193.0,193.0,215514,1,334.0,334.0
Wazirpur,215514,10,195.0,398.0,215514,11,170.0,886.0
R.K. Puram,215514,10,193.0,344.0,215514,16,142.0,459.0
Sonia Vihar,215514,13,199.0,290.0,215514,13,153.0,269.0
Sriniwaspuri,215514,13,185.0,418.0,215514,14,132.0,514.0
Jhilmil,215514,14,194.0,378.0,215514,14,153.0,438.0
Anand Vihar,215516,14,178.0,426.0,215516,15,137.0,930.0
Mandir Marg,215514,14,187.0,319.0,215514,15,109.0,233.0
Delhi,158566,16,200.0,403.0,158566,15,153.0,453.0
Jahangirpuri,215514,16,189.0,467.0,215514,16,145.0,703.0
Parparganj,215514,17,173.0,253.0,215514,20,133.0,400.0
Major Dhyan Chand National Stadium,215514,18,197.0,368.0,215514,15,145.0,414.0
Jawaharlal Nehru Stadium,215514,18,170.0,311.0,215514,17,117.0,332.0
Pusa,215514,24,182.0,298.0,215514,24,116.0,315.0
